,distance,time,radial_velocity,obs_signal,x,y,z,time_step
34258,315.0,2023-05-05 05:04:16.590000,2.1021,0.2333,28.2773,-308.923,54.6992,21
34358,615.0,2023-05-05 05:04:16.590000,3.0576,0.2655,55.208,-603.1353,106.7936,21
34458,1257.0,2023-05-05 05:04:16.590000,8.6378,0.0193,112.8399,-1232.7497,218.2758,21
34558,318.0,2023-05-05 05:04:19.610004,3.0194,0.2213,3.8806,-313.1448,55.2201,21
34658,618.0,2023-05-05 05:04:19.610004,2.9048,0.2412,7.5416,-608.5645,107.3146,21
34758,1077.0,2023-05-05 05:04:19.610004,3.5163,0.1538,13.1429,-1060.5565,187.0191,21
34858,297.0,2023-05-05 05:04:22.620000,3.7074,0.2452,-19.4862,-291.8381,51.5735,21
34958,597.0,2023-05-05 05:04:22.620000,3.8603,0.2765,-39.1692,-586.624,103.668,21
35058,1071.0,2023-05-05 05:04:22.620000,4.166,0.034,-70.2684,-1052.3858,185.9772,21
35158,306.0,2023-05-05 05:04:25.640004,4.2042,0.2393,-43.7621,-298.1567,53.1363,21
35258,606.0,2023-05-05 05:04:25.640004,4.3953,0.2036,-86.6662,-590.4672,105.2308,21
35358,12.0,2023-05-05 05:04:28.650000,0.344,0.1561,-2.6343,-11.5203,2.0838,21
35458,318.0,2023-05-05 05:04:28.650000,4.6629,0.2298,-69.8084,-305.2892,55.2201,21
35558,618.0,2023-05-05 05:04:28.650000,4.3953,0.2103,-135.6654,-593.298,107.3146,21
35658,42.0,2023-05-05 05:04:31.670004,-3.5163,0.141,-12.3758,-39.4671,7.2932,21
35758,348.0,2023-05-05 05:04:31.670004,4.4718,0.219,-102.5423,-327.0128,60.4296,21
35858,648.0,2023-05-05 05:04:31.670004,5.3891,0.2271,-190.9408,-608.9203,112.524,21
35958,84.0,2023-05-05 05:04:34.680000,0.9937,0.2819,-30.8952,-76.738,14.5864,21
36058,384.0,2023-05-05 05:04:34.680000,4.2425,0.2051,-141.2351,-350.8024,66.6809,21
36158,684.0,2023-05-05 05:04:34.680000,6.3064,0.2012,-251.575,-624.8668,118.7754,21
36258,90.0,2023-05-05 05:04:37.790004,2.6754,0.4716,-39.6861,-79.2513,15.6283,21
36358,390.0,2023-05-05 05:04:37.790004,5.1598,0.1928,-171.9731,-343.4223,67.7228,21
36458,690.0,2023-05-05 05:04:37.790004,6.3064,0.2275,-304.2601,-607.5933,119.8172,21
36558,72.0,2023-05-05 05:04:40.800000,-8.9818,0.0385,-36.6466,-60.7018,12.5027,21
36658,375.0,2023-05-05 05:04:40.800000,5.7331,0.2049,-190.8676,-316.1553,65.1181,21
36758,675.0,2023-05-05 05:04:40.800000,6.5739,0.2765,-343.5617,-569.0796,117.2125,21
36858,1143.0,2023-05-05 05:04:40.800000,7.4912,0.137,-581.7645,-963.6414,198.4799,21
36958,273.0,2023-05-05 05:04:43.820004,5.1215,0.2779,-156.6578,-218.4949,47.406,21
37058,573.0,2023-05-05 05:04:43.820004,6.6504,0.186,-328.8092,-458.5991,99.5004,21
37158,1056.0,2023-05-05 05:04:43.820004,8.0263,0.3934,-605.973,-845.167,183.3725,21
37258,237.0,2023-05-05 05:04:46.830000,4.9687,0.3258,-150.525,-178.3747,41.1546,21
37358,537.0,2023-05-05 05:04:46.830000,6.765,0.1988,-341.0629,-404.1654,93.2491,21
37458,1086.0,2023-05-05 05:04:46.830000,7.6823,0.8535,-689.7473,-817.3625,188.5819,21
37558,246.0,2023-05-05 05:04:49.850004,4.854,0.3118,-170.3762,-172.2299,42.7175,21
37658,546.0,2023-05-05 05:04:49.850004,7.6823,0.2213,-378.1522,-382.2665,94.8119,21
37758,846.0,2023-05-05 05:04:49.850004,8.3321,0.6612,-585.9281,-592.303,146.9064,21
37858,150.0,2023-05-05 05:04:52.860000,4.166,0.4526,-111.841,-96.5045,26.0472,21
37958,450.0,2023-05-05 05:04:52.860000,6.6121,0.1884,-335.5231,-289.5136,78.1417,21
38058,750.0,2023-05-05 05:04:52.860000,6.9179,0.309,-559.2052,-482.5227,130.2361,21
38158,57.0,2023-05-05 05:04:55.880004,-7.8352,0.1018,-45.2632,-33.2005,9.8979,21
38258,363.0,2023-05-05 05:04:55.880004,5.0833,0.245,-288.2551,-211.4348,63.0343,21
38358,663.0,2023-05-05 05:04:55.880004,6.7268,0.194,-526.4825,-386.1742,115.1287,21
38458,15.0,2023-05-05 05:04:58.890000,-0.344,0.1261,-12.5642,-7.7689,2.6047,21
38558,324.0,2023-05-05 05:04:58.890000,6.077,0.2772,-271.387,-167.8084,56.262,21
38658,624.0,2023-05-05 05:04:58.890000,7.5294,0.1564,-522.6713,-323.1866,108.3565,21
38758,1164.0,2023-05-05 05:04:58.890000,8.5996,0.1015,-974.9831,-602.8673,202.1265,21
38858,279.0,2023-05-05 05:05:01.910004,5.7713,0.3076,-244.3773,-125.5928,48.4478,21
38958,579.0,2023-05-05 05:05:01.910004,7.3383,0.1542,-507.1485,-260.6389,100.5423,21
39058,879.0,2023-05-05 05:05:01.910004,9.0965,0.9369,-769.9197,-395.685,152.6367,21
39158,195.0,2023-05-05 05:05:04.930008,3.7838,0.3772,-177.1878,-74.0466,33.8614,21
39258,495.0,2023-05-05 05:05:04.930008,7.6059,0.1903,-449.7844,-187.9644,85.9558,21
39358,795.0,2023-05-05 05:05:04.930008,8.2556,0.3448,-722.3809,-301.8823,138.0503,21
39458,159.0,2023-05-05 05:05:07.940004,5.6566,0.4181,-148.7849,-48.8029,27.6101,21
39558,459.0,2023-05-05 05:05:07.940004,6.9561,0.1975,-429.5112,-140.8839,79.7045,21
39658,759.0,2023-05-05 05:05:07.940004,7.8734,0.3643,-710.2376,-232.9649,131.799,21
39758,129.0,2023-05-05 05:05:10.960008,4.5865,0.4565,-123.4625,-29.9372,22.4006,21
39858,429.0,2023-05-05 05:05:10.960008,6.2682,0.2157,-410.5845,-99.5584,74.4951,21
39958,729.0,2023-05-05 05:05:10.960008,6.9179,0.2269,-697.7065,-169.1797,126.5895,21
40058,93.0,2023-05-05 05:05:13.970004,2.6754,0.5344,-90.4319,-14.501,16.1493,21
40158,393.0,2023-05-05 05:05:13.970004,6.2682,0.2163,-382.1475,-61.2785,68.2437,21
40258,693.0,2023-05-05 05:05:13.970004,6.6886,0.2589,-673.8632,-108.056,120.3382,21
40358,90.0,2023-05-05 05:05:16.990008,2.1403,0.4753,-88.3497,-7.0774,15.6283,21
40458,390.0,2023-05-05 05:05:16.990008,6.1153,0.2275,-382.8486,-30.6688,67.7228,21
40558,690.0,2023-05-05 05:05:16.990008,5.7331,0.224,-677.3475,-54.2601,119.8172,21
40658,18.0,2023-05-05 05:05:20.000004,0.1911,0.1231,-17.7265,-0.0155,3.1257,21
40758,327.0,2023-05-05 05:05:20.000004,5.2744,0.2592,-322.032,-0.281,56.783,21
40858,627.0,2023-05-05 05:05:20.000004,5.5802,0.1825,-617.4742,-0.5388,108.8774,21
40958,1095.0,2023-05-05 05:05:20.000004,7.5676,0.1376,-1078.3641,-0.9411,190.1448,21
41058,273.0,2023-05-05 05:05:23.020008,4.1278,0.2783,-268.0311,21.0004,47.406,21
41158,573.0,2023-05-05 05:05:23.020008,5.2362,0.2,-562.5707,44.0777,99.5004,21
41258,1044.0,2023-05-05 05:05:23.020008,6.8032,0.0562,-1024.998,80.3091,181.2887,21
41358,276.0,2023-05-05 05:05:26.030004,4.2807,0.2794,-268.4605,42.52,47.9269,21
41458,576.0,2023-05-05 05:05:26.030004,5.6184,0.1891,-560.2655,88.7373,100.0214,21
41558,1071.0,2023-05-05 05:05:26.030004,5.5802,0.5023,-1041.7436,164.996,185.9772,21
41658,255.0,2023-05-05 05:05:29.040000,4.0514,0.2893,-244.1669,58.7094,44.2803,21
41758,555.0,2023-05-05 05:05:29.040000,5.7713,0.2265,-531.422,127.7793,96.3747,21
41858,1047.0,2023-05-05 05:05:29.040000,5.2362,0.3342,-1002.5204,241.054,181.8096,21
41958,267.0,2023-05-05 05:05:32.060004,3.8603,0.2881,-250.0033,81.4723,46.3641,21
42058,567.0,2023-05-05 05:05:32.060004,5.7713,0.2195,-530.9059,173.0141,98.4585,21
42158,1038.0,2023-05-05 05:05:32.060004,4.7776,0.0773,-971.9229,316.7349,180.2468,21
42258,294.0,2023-05-05 05:05:35.070000,3.9749,0.2691,-267.3585,111.1264,51.0526,21
42358,594.0,2023-05-05 05:05:35.070000,5.0451,0.2002,-540.1733,224.5207,103.147,21
42458,12.0,2023-05-05 05:05:38.090004,-0.5733,0.2052,-10.5203,5.3835,2.0838,21
42558,327.0,2023-05-05 05:05:38.090004,2.8283,0.2462,-286.6771,146.7001,56.783,21
42658,627.0,2023-05-05 05:05:38.090004,4.6629,0.208,-549.6837,281.2873,108.8774,21
42758,39.0,2023-05-05 05:05:41.100000,-2.1021,0.1355,-32.7022,20.1421,6.7723,21
42858,348.0,2023-05-05 05:05:41.100000,2.599,0.2521,-291.8039,179.7296,60.4296,21
42958,648.0,2023-05-05 05:05:41.100000,4.3953,0.2108,-543.359,334.669,112.524,21
43058,51.0,2023-05-05 05:05:44.120004,-5.3126,0.6478,-40.5504,29.635,8.8561,21
43158,357.0,2023-05-05 05:05:44.120004,2.8665,0.2652,-283.8531,207.4449,61.9924,21
43258,657.0,2023-05-05 05:05:44.120004,3.1723,0.2347,-522.3851,381.7683,114.0869,21
43358,105.0,2023-05-05 05:05:47.130000,1.2995,0.4901,-78.43,67.3891,18.2331,21
43458,405.0,2023-05-05 05:05:47.130000,2.2932,0.2319,-302.5159,259.9292,70.3275,21
43558,705.0,2023-05-05 05:05:47.130000,3.1341,0.2867,-526.6017,452.4694,122.422,21
43658,123.0,2023-05-05 05:05:50.150004,1.032,0.4267,-85.3533,85.9513,21.3587,21
43758,423.0,2023-05-05 05:05:50.150004,1.567,0.2136,-293.5321,295.5885,73.4532,21
43858,723.0,2023-05-05 05:05:50.150004,2.8665,0.3437,-501.7108,505.2257,125.5476,21
43958,123.0,2023-05-05 05:05:53.160000,0.9173,0.4383,-78.2981,92.4241,21.3587,21
44058,423.0,2023-05-05 05:05:53.160000,1.3377,0.2101,-269.2692,317.8486,73.4532,21
44158,723.0,2023-05-05 05:05:53.160000,2.5608,0.274,-460.2403,543.2731,125.5476,21
44258,123.0,2023-05-05 05:05:56.180004,0.2675,0.4577,-70.771,98.3071,21.3587,21
44358,423.0,2023-05-05 05:05:56.180004,2.1403,0.2238,-243.383,338.0804,73.4532,21
44458,723.0,2023-05-05 05:05:56.180004,1.7199,0.2501,-415.9951,577.8537,125.5476,21
44558,117.0,2023-05-05 05:05:59.190000,0.1529,0.4326,-59.7228,98.5364,20.3168,21
44658,417.0,2023-05-05 05:05:59.190000,1.4142,0.2483,-212.8581,351.1937,72.4113,21
44758,717.0,2023-05-05 05:05:59.190000,0.5733,0.2668,-365.9934,603.8511,124.5057,21
44858,120.0,2023-05-05 05:06:02.210004,0.4969,0.4375,-53.0807,105.5852,20.8378,21
44958,420.0,2023-05-05 05:06:02.210004,1.2613,0.2402,-185.7825,369.548,72.9322,21
45058,720.0,2023-05-05 05:06:02.210004,0.1529,0.2405,-318.4843,633.5109,125.0267,21
45158,144.0,2023-05-05 05:06:05.220000,0.1529,0.4463,-53.4908,131.3372,25.0053,21
45258,444.0,2023-05-05 05:06:05.220000,0.2293,0.2515,-164.93,404.9565,77.0998,21
45358,744.0,2023-05-05 05:06:05.220000,-0.8408,0.1976,-276.3691,678.5757,129.1942,21
45458,126.0,2023-05-05 05:06:08.240004,-0.8408,0.4715,-37.6024,118.2512,21.8797,21
45558,426.0,2023-05-05 05:06:08.240004,-0.8026,0.1996,-127.1318,399.8016,73.9741,21
45658,726.0,2023-05-05 05:06:08.240004,-1.567,0.2104,-216.6613,681.352,126.0686,21
45758,111.0,2023-05-05 05:06:11.250000,-0.4969,0.4726,-24.8132,106.4602,19.2749,21
45858,411.0,2023-05-05 05:06:11.250000,-0.8791,0.2285,-91.8761,394.1906,71.3694,21
45958,711.0,2023-05-05 05:06:11.250000,-1.3377,0.2416,-158.9389,681.9209,123.4639,21
46058,102.0,2023-05-05 05:06:14.270004,-0.344,0.5028,-15.0209,99.321,17.7121,21
46158,402.0,2023-05-05 05:06:14.270004,-1.6053,0.2257,-59.2,391.4414,69.8066,21
46258,702.0,2023-05-05 05:06:14.270004,-1.8346,0.2427,-103.379,683.5619,121.901,21
46358,78.0,2023-05-05 05:06:17.280000,-1.3377,0.0218,-5.452,76.6213,13.5446,21
46458,378.0,2023-05-05 05:06:17.280000,-2.4079,0.2635,-26.421,371.3185,65.639,21
46558,678.0,2023-05-05 05:06:17.280000,-1.9875,0.3116,-47.3901,666.0158,117.7335,21
8,30.0,2023-05-05 05:13:21.029988,-0.8026,0.0362,0.0,29.5442,5.2094,22
108,342.0,2023-05-05 05:13:21.029988,-2.1021,0.2728,0.0,336.8043,59.3877,22
208,642.0,2023-05-05 05:13:21.029988,-3.7456,0.1311,0.0,632.2466,111.4821,22
308,942.0,2023-05-05 05:13:21.029988,-3.8985,0.9183,0.0,927.6889,163.5766,22
408,234.0,2023-05-05 05:13:24.049992,-1.4906,0.3628,17.3186,229.7933,40.6337,22
508,534.0,2023-05-05 05:13:24.049992,-3.7838,0.196,39.5219,524.4001,92.7281,22
608,834.0,2023-05-05 05:13:24.049992,-4.51,0.2297,61.7252,819.007,144.8226,22
708,168.0,2023-05-05 05:13:27.059988,-2.7137,0.4601,25.4538,163.478,29.1729,22
808,468.0,2023-05-05 05:13:27.059988,-3.3252,0.2435,70.9071,455.4029,81.2673,22
908,768.0,2023-05-05 05:13:27.059988,-5.0069,0.3265,116.3603,747.3278,133.3618,22
1008,93.0,2023-05-05 05:13:30.090000,-1.0702,0.643,21.194,89.1011,16.1493,22
1108,393.0,2023-05-05 05:13:30.090000,-3.8985,0.2535,89.5618,376.5242,68.2437,22
1208,693.0,2023-05-05 05:13:30.090000,-5.542,0.192,157.9297,663.9472,120.3382,22
1308,9.0,2023-05-05 05:13:33.110004,0.0764,0.0921,2.7301,8.4323,1.5628,22
1408,318.0,2023-05-05 05:13:33.110004,-3.7456,0.302,96.4625,297.9425,55.2201,22
1508,618.0,2023-05-05 05:13:33.110004,-6.1153,0.1724,187.465,579.0203,107.3146,22
1608,1053.0,2023-05-05 05:13:33.110004,-6.6886,0.2981,319.4184,986.5831,182.8515,22
1708,231.0,2023-05-05 05:13:36.140016,-4.6629,0.3347,87.0202,210.1891,40.1127,22
1808,531.0,2023-05-05 05:13:36.140016,-4.6247,0.2499,200.0334,483.1619,92.2072,22
1908,831.0,2023-05-05 05:13:36.140016,-6.077,0.3157,313.0467,756.1348,144.3016,22
2008,150.0,2023-05-05 05:13:39.159984,-1.6817,0.4815,67.041,131.6322,26.0472,22
2108,450.0,2023-05-05 05:13:39.159984,-5.6948,0.2074,201.1231,394.8967,78.1417,22
2208,750.0,2023-05-05 05:13:39.159984,-6.5739,0.2065,335.2052,658.1611,130.2361,22
2308,105.0,2023-05-05 05:13:42.170016,-2.1786,0.5763,54.0904,88.1294,18.2331,22
2408,405.0,2023-05-05 05:13:42.170016,-6.4593,0.1761,208.6344,339.9275,70.3275,22
2508,705.0,2023-05-05 05:13:42.170016,-6.3828,0.204,363.1784,591.7257,122.422,22
2608,39.0,2023-05-05 05:13:45.199992,-2.599,0.2359,22.6187,31.0408,6.7723,22
2708,345.0,2023-05-05 05:13:45.199992,-6.421,0.235,200.0887,274.5914,59.9086,22
2808,645.0,2023-05-05 05:13:45.199992,-7.3001,0.1166,374.0789,513.3666,112.0031,22
2908,1095.0,2023-05-05 05:13:45.199992,-8.5614,0.5887,635.0642,871.5293,190.1448,22
3008,273.0,2023-05-05 05:13:48.219996,-5.6948,0.2997,174.9267,204.1625,47.406,22
3108,573.0,2023-05-05 05:13:48.219996,-7.109,0.1881,367.1537,428.517,99.5004,22
3208,873.0,2023-05-05 05:13:48.219996,-7.8734,0.5759,559.3808,652.8714,151.5949,22
3308,162.0,2023-05-05 05:13:51.229992,-3.9367,0.4262,113.047,112.5745,28.131,22
3408,462.0,2023-05-05 05:13:51.229992,-7.2237,0.1578,322.3934,321.0458,80.2255,22
3508,762.0,2023-05-05 05:13:51.229992,-7.8734,0.3105,531.7397,529.517,132.3199,22
3608,51.0,2023-05-05 05:13:54.249996,-6.5357,0.1992,38.2768,32.5186,8.8561,22
3708,360.0,2023-05-05 05:13:54.249996,-7.3383,0.1596,270.1892,229.5428,62.5133,22
3808,660.0,2023-05-05 05:13:54.249996,-7.6059,0.1144,495.3469,420.8284,114.6078,22
3908,1086.0,2023-05-05 05:13:54.249996,-9.02,0.5173,815.0707,692.454,188.5819,22
4008,252.0,2023-05-05 05:13:57.259992,-6.2682,0.3046,201.2069,145.2752,43.7593,22
4108,552.0,2023-05-05 05:13:57.259992,-7.6823,0.1275,440.739,318.2219,95.8538,22
4208,852.0,2023-05-05 05:13:57.259992,-8.2556,0.2614,680.271,491.1686,147.9482,22
4308,183.0,2023-05-05 05:14:00.279996,-4.51,0.4458,153.9741,93.6545,31.7776,22
4408,483.0,2023-05-05 05:14:00.279996,-8.0263,0.1459,406.3906,247.1865,83.8721,22
4508,783.0,2023-05-05 05:14:00.279996,-8.2174,0.3741,658.8071,400.7185,135.9665,22
4608,108.0,2023-05-05 05:14:03.289992,-4.7011,0.5733,94.9431,47.9384,18.754,22
4708,408.0,2023-05-05 05:14:03.289992,-5.8859,0.2998,358.674,181.1007,70.8485,22
4808,708.0,2023-05-05 05:14:03.289992,-7.8352,0.1775,622.4049,314.263,122.9429,22
4908,60.0,2023-05-05 05:14:06.309996,-8.1792,0.1352,54.6849,22.3833,10.4189,22
5008,366.0,2023-05-05 05:14:06.309996,-5.1215,0.3347,333.5777,136.5382,63.5552,22
5108,666.0,2023-05-05 05:14:06.309996,-8.4467,0.165,607.002,248.4547,115.6497,22
5208,1152.0,2023-05-05 05:14:06.309996,-8.9054,0.0345,1049.9494,429.7596,200.0427,22
5308,366.0,2023-05-05 05:14:09.319992,-5.2744,0.0841,343.3195,109.7653,63.5552,22
5408,684.0,2023-05-05 05:14:09.319992,-8.5614,0.0364,641.6136,205.1352,118.7754,22
5508,996.0,2023-05-05 05:14:09.319992,-8.3703,0.5298,934.2794,298.7057,172.9536,22
5608,225.0,2023-05-05 05:14:15.349992,-5.8477,0.3352,219.0439,33.4402,39.0708,22
5708,525.0,2023-05-05 05:14:15.349992,-7.9116,0.1385,511.1024,78.0271,91.1653,22
5808,825.0,2023-05-05 05:14:15.349992,-7.9498,0.0991,803.1609,122.614,143.2597,22
5908,60.0,2023-05-05 05:14:18.369996,-7.9116,0.1304,58.9335,4.2761,10.4189,22
6008,366.0,2023-05-05 05:14:18.369996,-7.797,0.1986,359.4946,26.0842,63.5552,22
6108,666.0,2023-05-05 05:14:18.369996,-7.9498,0.1532,654.1622,47.4648,115.6497,22
6208,1227.0,2023-05-05 05:14:18.369996,-7.6059,0.521,1205.1908,87.4463,213.0663,22
6308,234.0,2023-05-05 05:14:21.379992,-6.9943,0.3069,230.4405,-1.4479,40.6337,22
6408,534.0,2023-05-05 05:14:21.379992,-7.3383,0.1451,525.877,-3.3042,92.7281,22
6508,834.0,2023-05-05 05:14:21.379992,-7.0326,0.2684,821.3135,-5.1605,144.8226,22
6608,1266.0,2023-05-05 05:14:21.379992,-7.453,0.1614,1246.742,-7.8336,219.8386,22
6708,249.0,2023-05-05 05:14:24.389988,-7.4912,0.2443,244.3282,-20.8604,43.2384,22
6808,549.0,2023-05-05 05:14:24.389988,-7.4148,0.2332,538.6996,-45.9934,95.3328,22
6908,849.0,2023-05-05 05:14:24.389988,-7.1854,0.2243,833.071,-71.1264,147.4273,22
7008,1275.0,2023-05-05 05:14:24.389988,-6.9561,0.121,1251.0783,-106.8153,221.4014,22
7108,243.0,2023-05-05 05:14:27.409992,-7.3001,0.3014,236.0881,-39.1265,42.1965,22
7208,543.0,2023-05-05 05:14:27.409992,-6.9179,0.1802,527.5548,-87.4307,94.291,22
7308,843.0,2023-05-05 05:14:27.409992,-6.421,0.1978,819.0216,-135.735,146.3854,22
7408,9.0,2023-05-05 05:14:30.419988,0.3058,0.0986,8.6022,-2.1352,1.5628,22
7508,318.0,2023-05-05 05:14:30.419988,-5.7331,0.2602,303.9456,-75.4442,55.2201,22
7608,618.0,2023-05-05 05:14:30.419988,-6.5739,0.1103,590.6867,-146.6179,107.3146,22
7708,918.0,2023-05-05 05:14:30.419988,-6.1153,0.4379,877.4278,-217.7916,159.409,22
7808,54.0,2023-05-05 05:14:33.439992,-6.421,0.3959,50.4403,-16.8477,9.377,22
7908,363.0,2023-05-05 05:14:33.439992,-5.6566,0.2592,339.071,-113.2542,63.0343,22
8008,663.0,2023-05-05 05:14:33.439992,-6.3446,0.1609,619.295,-206.8527,115.1287,22
8108,963.0,2023-05-05 05:14:33.439992,-5.3891,0.7441,899.519,-300.4512,167.2232,22
8208,45.0,2023-05-05 05:14:36.449988,-3.7456,0.4291,40.7934,-17.3158,7.8142,22
8308,354.0,2023-05-05 05:14:36.449988,-4.8922,0.2936,320.9082,-136.2174,61.4715,22
8408,654.0,2023-05-05 05:14:36.449988,-5.6566,0.1581,592.8643,-251.656,113.5659,22
8508,1077.0,2023-05-05 05:14:36.449988,-4.51,0.3813,976.3224,-414.4243,187.0191,22
8608,204.0,2023-05-05 05:14:39.469992,-5.0451,0.4108,178.1688,-92.8279,35.4242,22
8708,504.0,2023-05-05 05:14:39.469992,-5.7331,0.1973,440.1817,-229.3394,87.5187,22
8808,804.0,2023-05-05 05:14:39.469992,-4.166,0.2567,702.1946,-365.851,139.6131,22
8908,1230.0,2023-05-05 05:14:39.469992,-4.3953,0.0267,1074.2529,-559.6974,213.5873,22
9008,309.0,2023-05-05 05:14:42.479988,-4.5482,0.3261,257.9531,-161.4375,53.6573,22
9108,609.0,2023-05-05 05:14:42.479988,-4.2425,0.1758,508.3931,-318.173,105.7517,22
9208,51.0,2023-05-05 05:14:45.499992,-6.1535,0.3875,40.3426,-29.9174,8.8561,22
9308,354.0,2023-05-05 05:14:45.499992,-4.4718,0.2886,280.0248,-207.6616,61.4715,22
9408,654.0,2023-05-05 05:14:45.499992,-3.287,0.4049,517.334,-383.6461,113.5659,22
9508,57.0,2023-05-05 05:14:48.509988,-7.8352,0.1941,42.3134,-36.8864,9.8979,22
9608,366.0,2023-05-05 05:14:48.509988,-3.6692,0.2433,271.6968,-236.8493,63.5552,22
9708,666.0,2023-05-05 05:14:48.509988,-3.2487,0.3113,494.3991,-430.988,115.6497,22
9808,72.0,2023-05-05 05:14:51.609984,-8.4467,0.0265,49.4865,-50.7816,12.5027,22
9908,375.0,2023-05-05 05:14:51.609984,-3.0576,0.214,257.7422,-264.4874,65.1181,22
10008,675.0,2023-05-05 05:14:51.609984,-2.8283,0.2533,463.936,-476.0773,117.2125,22
10108,108.0,2023-05-05 05:14:54.629988,-3.0194,0.4916,67.996,-81.7853,18.754,22
10208,408.0,2023-05-05 05:14:54.629988,-2.1403,0.2359,256.8737,-308.9667,70.8485,22
10308,708.0,2023-05-05 05:14:54.629988,-2.255,0.3679,445.7514,-536.1481,122.9429,22
10408,189.0,2023-05-05 05:14:57.639984,-1.4142,0.4679,107.3171,-152.0754,32.8195,22
10508,489.0,2023-05-05 05:14:57.639984,-1.911,0.3007,277.6618,-393.4648,84.914,22
10608,930.0,2023-05-05 05:14:57.639984,-1.567,0.2142,528.0684,-748.3073,161.4928,22
10708,258.0,2023-05-05 05:15:00.650016,-1.5288,0.3664,129.6808,-218.4942,44.8012,22
10808,558.0,2023-05-05 05:15:00.650016,-1.4142,0.2866,280.4725,-472.5573,96.8957,22
10908,1026.0,2023-05-05 05:15:00.650016,-0.8791,0.0258,515.7074,-868.8957,178.163,22
11008,312.0,2023-05-05 05:15:03.660012,-1.567,0.2992,135.4646,-275.7863,54.1782,22
11108,612.0,2023-05-05 05:15:03.660012,-0.5733,0.246,265.719,-540.9654,106.2727,22
11208,87.0,2023-05-05 05:15:06.680016,-0.5733,0.2787,31.582,-79.6451,15.1074,22
11308,387.0,2023-05-05 05:15:06.680016,0.3822,0.2219,140.4854,-354.2835,67.2018,22
11408,687.0,2023-05-05 05:15:06.680016,-0.1529,0.3672,249.3888,-628.9218,119.2963,22
11508,60.0,2023-05-05 05:15:09.690012,-8.7907,0.0251,17.3842,-56.4733,10.4189,22
11608,366.0,2023-05-05 05:15:09.690012,0.6497,0.2683,106.0439,-344.4872,63.5552,22
11708,666.0,2023-05-05 05:15:09.690012,0.5733,0.2877,192.9652,-626.8537,115.6497,22
11808,1188.0,2023-05-05 05:15:09.690012,3.1341,0.2328,344.2081,-1118.1715,206.294,22
11908,285.0,2023-05-05 05:15:12.719988,0.2675,0.3141,61.1307,-273.9321,49.4897,22
12008,585.0,2023-05-05 05:15:12.719988,1.3377,0.2615,125.4788,-562.2817,101.5842,22
12108,969.0,2023-05-05 05:15:12.719988,3.3252,0.7788,207.8444,-931.3692,168.2651,22
12208,102.0,2023-05-05 05:15:15.729984,1.4906,0.5124,14.0668,-99.4606,17.7121,22
12308,402.0,2023-05-05 05:15:15.729984,2.0639,0.2822,55.4397,-391.9917,69.8066,22
12408,702.0,2023-05-05 05:15:15.729984,2.7137,0.2237,96.8126,-684.5228,121.901,22
12508,132.0,2023-05-05 05:15:18.749988,2.8665,0.4179,8.0039,-129.748,22.9216,22
12608,432.0,2023-05-05 05:15:18.749988,3.0576,0.243,26.1946,-424.6298,75.016,22
12708,732.0,2023-05-05 05:15:18.749988,3.1723,0.3106,44.3854,-719.5115,127.1105,22
12808,96.0,2023-05-05 05:15:21.759984,2.3314,0.5277,-1.65,-94.5271,16.6702,22
12908,396.0,2023-05-05 05:15:21.759984,3.287,0.2035,-6.8062,-389.9245,68.7647,22
13008,696.0,2023-05-05 05:15:21.759984,3.8985,0.3172,-11.9623,-685.3218,120.8591,22
13108,51.0,2023-05-05 05:15:24.779988,-5.8477,0.4225,-4.84,-49.9914,8.8561,22
13208,360.0,2023-05-05 05:15:24.779988,3.1341,0.2235,-34.165,-352.8808,62.5133,22
13308,660.0,2023-05-05 05:15:24.779988,3.7074,0.4224,-62.6359,-646.9481,114.6078,22
13408,1095.0,2023-05-05 05:15:24.779988,4.8158,0.6203,-103.9187,-1073.3456,190.1448,22
13508,252.0,2023-05-05 05:15:27.789984,2.7519,0.3859,-43.3505,-244.356,43.7593,22
13608,552.0,2023-05-05 05:15:27.789984,5.0451,0.0994,-94.9581,-535.256,95.8538,22
13708,33.0,2023-05-05 05:15:30.800016,-1.0702,0.043,-8.1754,-31.4535,5.7304,22
13808,342.0,2023-05-05 05:15:30.800016,3.6309,0.2753,-84.7274,-325.973,59.3877,22
13908,642.0,2023-05-05 05:15:30.800016,4.3571,0.3486,-159.0496,-611.9142,111.4821,22
14008,51.0,2023-05-05 05:15:33.819984,-6.1535,0.3876,-16.4263,-47.4631,8.8561,22
14108,357.0,2023-05-05 05:15:33.819984,4.0896,0.2737,-114.9841,-332.2418,61.9924,22
14208,657.0,2023-05-05 05:15:33.819984,5.542,0.3225,-211.6094,-611.4366,114.0869,22
14308,93.0,2023-05-05 05:15:36.830016,4.8922,0.5402,-36.6961,-83.9142,16.1493,22
14408,393.0,2023-05-05 05:15:36.830016,4.854,0.2285,-155.0707,-354.6053,68.2437,22
14508,693.0,2023-05-05 05:15:36.830016,5.8859,0.3108,-273.4452,-625.2963,120.3382,22
14608,135.0,2023-05-05 05:15:39.849984,5.6948,0.4341,-62.7024,-117.2342,23.4425,22
14708,435.0,2023-05-05 05:15:39.849984,5.542,0.2205,-202.0412,-377.7546,75.537,22
14808,735.0,2023-05-05 05:15:39.849984,6.8415,0.2013,-341.38,-638.275,127.6314,22
