,distance,time,radial_velocity,obs_signal,x,y,z,time_step
0,6.0,2023-05-05 00:13:07.410000,0.4204,0.048255999999999966,0.0,5.908846518073248,1.041889066001582,0
1,9.0,2023-05-05 00:13:07.410000,0.2675,0.042922000000000016,0.0,8.863269777109872,1.562833599002373,0
2,12.0,2023-05-05 00:13:07.410000,0.1147,0.04055799999999998,0.0,11.817693036146496,2.083778132003164,0
3,15.0,2023-05-05 00:13:07.410000,-0.0382,0.03647699999999998,0.0,14.772116295183121,2.6047226650039548,0
4,18.0,2023-05-05 00:13:07.410000,-0.1529,0.029444000000000026,0.0,17.726539554219745,3.125667198004746,0
5,21.0,2023-05-05 00:13:07.410000,-0.2675,0.024144000000000054,0.0,20.680962813256368,3.646611731005537,0
6,30.0,2023-05-05 00:13:07.410000,-0.9173,0.025527999999999995,0.0,29.544232590366242,5.2094453300079095,0
7,33.0,2023-05-05 00:13:07.410000,-1.4142,0.07949699999999993,0.0,32.498655849402866,5.730389863008701,0
8,36.0,2023-05-05 00:13:07.410000,-1.9875,0.1712260000000001,0.0,35.45307910843949,6.251334396009492,0
9,39.0,2023-05-05 00:13:07.410000,-2.4079,0.30737799999999993,0.0,38.40750236747611,6.772278929010283,0
10,42.0,2023-05-05 00:13:07.410000,-2.8283,0.489657,0.0,41.361925626512736,7.293223462011074,0
11,45.0,2023-05-05 00:13:07.410000,-3.4016,0.6963699999999999,0.0,44.31634888554936,7.814167995011865,0
12,48.0,2023-05-05 00:13:07.410000,-4.2042,0.858751,0.0,47.27077214458598,8.335112528012656,0
13,51.0,2023-05-05 00:13:07.410000,-5.3509,0.8944589999999999,0.0,50.22519540362261,8.856057061013447,0
14,54.0,2023-05-05 00:13:07.410000,-6.7268,0.752121,0.0,53.17961866265923,9.377001594014239,0
15,57.0,2023-05-05 00:13:07.410000,-8.0645,0.471487,0.0,56.134041921695854,9.897946127015029,0
16,60.0,2023-05-05 00:13:07.410000,-8.8289,0.20185600000000004,0.0,59.088465180732484,10.418890660015819,0
17,63.0,2023-05-05 00:13:07.410000,-9.1347,0.05282000000000009,0.0,62.04288843976911,10.939835193016611,0
18,72.0,2023-05-05 00:13:07.410000,-9.2493,0.021063000000000054,0.0,70.90615821687898,12.502668792018984,0
19,78.0,2023-05-05 00:13:07.410000,-1.3759,0.07028400000000001,0.0,76.81500473495223,13.544557858020566,0
20,81.0,2023-05-05 00:13:07.410000,-1.1848,0.5281579999999999,0.0,79.76942799398886,14.065502391021356,0
21,84.0,2023-05-05 00:13:07.410000,-0.1147,0.7674080000000001,0.0,82.72385125302547,14.586446924022148,0
22,87.0,2023-05-05 00:13:07.410000,0.1529,0.8899600000000001,0.0,85.6782745120621,15.107391457022938,0
23,129.0,2023-05-05 00:13:07.410000,-0.4969,0.9769190000000001,0.0,127.04020013857483,22.400614919034012,0
24,132.0,2023-05-05 00:13:07.410000,-0.4969,0.9111450000000001,0.0,129.99462339761146,22.921559452034803,0
25,135.0,2023-05-05 00:13:07.410000,-0.5351,0.8430230000000001,0.0,132.94904665664808,23.442503985035593,0
26,138.0,2023-05-05 00:13:07.410000,-0.5351,0.7775829999999999,0.0,135.9034699156847,23.963448518036387,0
27,141.0,2023-05-05 00:13:07.410000,-0.5351,0.7139230000000001,0.0,138.85789317472134,24.484393051037177,0
28,144.0,2023-05-05 00:13:07.410000,-0.5351,0.6536839999999999,0.0,141.81231643375796,25.005337584037967,0
29,147.0,2023-05-05 00:13:07.410000,-0.5351,0.607132,0.0,144.76673969279457,25.526282117038757,0
30,150.0,2023-05-05 00:13:07.410000,-0.5351,0.562765,0.0,147.7211629518312,26.04722665003955,0
31,153.0,2023-05-05 00:13:07.410000,-0.5351,0.522,0.0,150.67558621086783,26.56817118304034,0
32,156.0,2023-05-05 00:13:07.410000,-0.5351,0.49029199999999995,0.0,153.63000946990445,27.08911571604113,0
33,159.0,2023-05-05 00:13:07.410000,-0.5351,0.474178,0.0,156.58443272894107,27.610060249041922,0
34,162.0,2023-05-05 00:13:07.410000,-0.5351,0.46474799999999994,0.0,159.5388559879777,28.131004782042712,0
35,165.0,2023-05-05 00:13:07.410000,-0.4969,0.46331199999999995,0.0,162.49327924701433,28.651949315043506,0
36,168.0,2023-05-05 00:13:07.410000,-0.5351,0.4768490000000001,0.0,165.44770250605094,29.172893848044296,0
37,171.0,2023-05-05 00:13:07.410000,-0.5733,0.48674400000000007,0.0,168.40212576508756,29.693838381045087,0
38,174.0,2023-05-05 00:13:07.410000,-0.6115,0.5125120000000001,0.0,171.3565490241242,30.214782914045877,0
39,177.0,2023-05-05 00:13:07.410000,-0.6497,0.543377,0.0,174.31097228316082,30.735727447046667,0
40,180.0,2023-05-05 00:13:07.410000,-0.688,0.57748,0.0,177.26539554219744,31.25667198004746,0
41,183.0,2023-05-05 00:13:07.410000,-0.7262,0.610887,0.0,180.21981880123406,31.77761651304825,0
42,186.0,2023-05-05 00:13:07.410000,-0.8026,0.6382460000000001,0.0,183.1742420602707,32.298561046049045,0
43,189.0,2023-05-05 00:13:07.410000,-0.8408,0.6596489999999999,0.0,186.12866531930732,32.81950557904983,0
44,192.0,2023-05-05 00:13:07.410000,-0.8791,0.6734119999999999,0.0,189.08308857834393,33.340450112050625,0
45,195.0,2023-05-05 00:13:07.410000,-0.9173,0.6913020000000001,0.0,192.03751183738058,33.86139464505141,0
46,198.0,2023-05-05 00:13:07.410000,-0.9555,0.701862,0.0,194.9919350964172,34.382339178052206,0
